dt1,dt,im,md,valid
2018-06-21 08:46:57,1529570817,/Volumes/T7/planet/mutale/data/20180621_084657_0f4d/20180621_084657_0f4d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180621_084657_0f4d/20180621_084657_0f4d_3B_AnalyticMS_metadata.xml,TRUE
2018-06-22 08:47:20,1529657240,/Volumes/T7/planet/mutale/data/20180622_084720_0f2d/20180622_084720_0f2d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180622_084720_0f2d/20180622_084720_0f2d_3B_AnalyticMS_metadata.xml,FALSE
2018-06-26 07:36:52,1529998612,/Volumes/T7/planet/mutale/data/20180626_073652_1001/20180626_073652_1001_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180626_073652_1001/20180626_073652_1001_3B_AnalyticMS_metadata.xml,FALSE
2018-06-27 07:36:56,1530085016,/Volumes/T7/planet/mutale/data/20180627_073656_101d/20180627_073656_101d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180627_073656_101d/20180627_073656_101d_3B_AnalyticMS_metadata.xml,TRUE
2018-06-27 08:46:26,1530089186,/Volumes/T7/planet/mutale/data/20180627_084626_1048/20180627_084626_1048_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180627_084626_1048/20180627_084626_1048_3B_AnalyticMS_metadata.xml,FALSE
2018-06-28 08:45:44,1530175544,/Volumes/T7/planet/mutale/data/20180628_084544_103f/20180628_084544_103f_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180628_084544_103f/20180628_084544_103f_3B_AnalyticMS_metadata.xml,TRUE
2018-06-29 08:45:59,1530261959,/Volumes/T7/planet/mutale/data/20180629_084559_0f33/20180629_084559_0f33_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180629_084559_0f33/20180629_084559_0f33_3B_AnalyticMS_metadata.xml,TRUE
2018-06-30 07:35:59,1530344159,/Volumes/T7/planet/mutale/data/20180630_073559_100c/20180630_073559_100c_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180630_073559_100c/20180630_073559_100c_3B_AnalyticMS_metadata.xml,TRUE
2018-07-02 07:37:38,1530517058,/Volumes/T7/planet/mutale/data/20180702_073738_1006/20180702_073738_1006_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180702_073738_1006/20180702_073738_1006_3B_AnalyticMS_metadata.xml,FALSE
2018-07-07 07:37:05,1530949025,/Volumes/T7/planet/mutale/data/20180707_073705_103b/20180707_073705_103b_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180707_073705_103b/20180707_073705_103b_3B_AnalyticMS_metadata.xml,TRUE
2018-07-10 08:44:39,1531212279,/Volumes/T7/planet/mutale/data/20180710_084439_0f3b/20180710_084439_0f3b_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180710_084439_0f3b/20180710_084439_0f3b_3B_AnalyticMS_metadata.xml,FALSE
2018-07-11 08:43:40,1531298620,/Volumes/T7/planet/mutale/data/20180711_084340_1048/20180711_084340_1048_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180711_084340_1048/20180711_084340_1048_3B_AnalyticMS_metadata.xml,TRUE
2018-07-12 08:43:07,1531384987,/Volumes/T7/planet/mutale/data/20180712_084307_103f/20180712_084307_103f_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180712_084307_103f/20180712_084307_103f_3B_AnalyticMS_metadata.xml,TRUE
2018-07-13 10:48:54,1531478934,/Volumes/T7/planet/mutale/data/20180713_104854_0f4c/20180713_104854_0f4c_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180713_104854_0f4c/20180713_104854_0f4c_3B_AnalyticMS_metadata.xml,TRUE
